holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
