hour,absolute_error
0,132.43934658174422
1,80.36440461071345
2,62.59383455264096
3,36.55275248990144
4,51.77207239042366
5,151.9471431800192
6,205.19444905641643
7,303.59330695161196
8,297.70027853012283
9,248.08978498128457
10,228.05635856221338
11,222.59883491997817
12,229.91918330958632
13,235.054656307393
14,242.81140096115644
15,274.29618285856986
16,346.43398596135677
17,318.86721145387173
18,278.7413479646313
19,204.82060691993294
20,198.70784916633173
21,293.5075251010715
22,339.8202171307257
23,286.87683436881935
