feature,importance
num__hour_cos,0.508642832902338
num__hour,0.2451994842716782
num__hour_sin,0.06679734719349817
num__dow_sin,0.0374583753372316
num__day_of_week,0.03128167004182365
num__is_weekend,0.03093476663199093
num__is_rush_hour,0.029561175475531387
num__day_of_year,0.01249487205611959
num__is_holiday,0.012118840576243134
num__temp,0.006858652575111667
num__dow_cos,0.004484539313151742
num__year,0.00330398857808558
num__month_cos,0.0029799871503591474
num__month_sin,0.0023226990271750115
num__month,0.001697941008151234
num__clouds_all,0.001296653706611609
num__rain_1h,0.0009067561307895156
cat__weather_main_Mist,0.00041110877628577056
cat__weather_main_Clouds,0.00031282499826312723
cat__weather_main_Rain,0.00021870856059708987
cat__weather_main_Clear,0.0001791239252468434
cat__weather_main_Haze,0.00016713729358382742
cat__weather_main_Fog,0.0001343007715458593
cat__weather_main_Snow,0.00013388676631914212
cat__weather_main_Drizzle,8.532581588372805e-05
cat__weather_main_Thunderstorm,8.60888940855658e-06
num__snow_1h,8.39222697586483e-06
cat__weather_main_Squall,0.0
